x,px,y,py,l,delta
2.2205531894217393e-22,1.8212535979253877e-24,0.0,0.0,-7.020725313093286e-13,-1.9409766152670103e-30
1.85364247051099e-23,4.79233750746614e-25,0.0,0.0,-1.401472348724936e-12,-1.6400493590067946e-30
-3.356642365836512e-22,2.5845995900097405e-24,0.0,0.0,-2.0929961951438443e-12,1.0758126965628384e-30
-2.5220111019909438e-23,2.335916887940993e-24,0.0,0.0,-2.7718470923766704e-12,5.740174116056466e-30
-5.377673642982768e-22,1.882683094933023e-24,0.0,0.0,-3.4338431832321185e-12,1.2059631355959896e-29
-4.0747861666943968e-22,3.7477638862998945e-24,0.0,0.0,-4.075550286794774e-12,1.983482104457141e-29
-3.624151830144375e-22,1.9735138884575465e-24,0.0,0.0,-4.694334183902256e-12,2.858426079497653e-29
-7.593814409944927e-22,3.140461181089159e-24,0.0,0.0,-5.288343018710717e-12,3.8044639107050374e-29
-3.3335608708352424e-22,3.2632853856545485e-24,0.0,0.0,-5.856438564498942e-12,4.7907507122717414e-29
-6.601442551803357e-22,1.86947465019946e-24,0.0,0.0,-6.398097151349985e-12,5.805625651795827e-29
-6.21778722852442e-22,3.702080867547697e-24,0.0,0.0,-6.9132985277289056e-12,6.81824350801304e-29
-3.519644001844922e-22,2.0541371097861908e-24,0.0,0.0,-7.402416185070862e-12,7.822585855641664e-29
-7.736379096008865e-22,2.3968888598381623e-24,0.0,0.0,-7.866117618906934e-12,8.802101879101798e-29
-3.5642227139969186e-22,3.1429947517715824e-24,0.0,0.0,-8.305278758293436e-12,9.748515872027929e-29
-5.075936819375784e-22,1.253943271826882e-24,0.0,0.0,-8.720913746742568e-12,1.0650543223246265e-28
-6.230388451815324e-22,2.954264067667257e-24,0.0,0.0,-9.114119373445436e-12,1.150329387464108e-28
-2.176060495508335e-22,1.839299633387021e-24,0.0,0.0,-9.48603245404968e-12,1.2323318736566507e-28
-6.365282641039816e-22,1.427881036757357e-24,0.0,0.0,-9.837798090806665e-12,1.3094066857085301e-28
-3.2380488382329914e-22,2.781678599492931e-24,0.0,0.0,-1.01705467403494e-11,1.3826823067629507e-28
-3.0092568354049024e-22,7.687281173544017e-25,0.0,0.0,-1.0485378208280437e-11,1.451444024279264e-28
-5.7259134159532445e-22,2.124765055605999e-24,0.0,0.0,-1.0783350970628958e-11,1.5156918377578845e-28
-1.1040131050875597e-22,1.7444117516753553e-24,0.0,0.0,-1.1065475504606208e-11,1.5770432341993303e-28
-4.723430735252813e-22,6.50345322977673e-25,0.0,0.0,-1.1332710588429429e-11,1.6348211274028533e-28
-3.190183811295117e-22,2.394634709418555e-24,0.0,0.0,-1.1585961753671298e-11,1.6893264456561181e-28
-1.2786120261127592e-22,5.575798826936365e-25,0.0,0.0,-1.1826081265763196e-11,1.740672040442872e-28
-5.128332567463045e-22,1.3433256456667606e-24,0.0,0.0,-1.2053869162902538e-11,1.78848175080844e-28
-6.361143135025967e-23,1.7427994113231583e-24,0.0,0.0,-1.2270075006348283e-11,1.833884041543621e-28
-3.095125463096726e-22,1.2342901044446033e-25,0.0,0.0,-1.2475400079406582e-11,1.8767284602080984e-28
-3.3671748215009272e-22,1.973694638597597e-24,0.0,0.0,-1.2670499848909326e-11,1.91690215637607e-28
-4.417850181062511e-24,5.839582699459998e-25,0.0,0.0,-1.2855986556784215e-11,1.9547436697316292e-28
-4.401562534543639e-22,6.609435291461136e-25,0.0,0.0,-1.3032431842921409e-11,1.9908172421622924e-28
-7.098147292243428e-23,1.760668509029719e-24,0.0,0.0,-1.3200369336780434e-11,2.0248219434775635e-28
-1.5948867420361506e-22,-1.4960789965838105e-25,0.0,0.0,-1.3360297172931109e-11,2.057246775000096e-28
-3.597077882207294e-22,1.5019134633309437e-24,0.0,0.0,-1.351268040089312e-11,2.0876967790107576e-28
6.53507864348536e-23,7.603715880805581e-25,0.0,0.0,-1.3657953272759546e-11,2.116623339058716e-28
-3.5013017117718654e-22,1.0275760334762229e-25,0.0,0.0,-1.3796521401602172e-11,2.1443085777738296e-28
-1.1545026244517344e-22,1.719053327087311e-24,0.0,0.0,-1.392876378488613e-11,2.1706772676208552e-28
-3.004163657693886e-23,-1.9643803556661336e-25,0.0,0.0,-1.4055034693568941e-11,2.1955601303860225e-28
-3.6960374106476263e-22,9.884499174347333e-25,0.0,0.0,-1.4175665435942902e-11,2.219126442751286e-28
8.439077470417601e-23,1.0001431074689532e-24,0.0,0.0,-1.429096599083415e-11,2.2415830847428924e-28
-2.440055852052271e-22,-2.995834401859451e-25,0.0,0.0,-1.4401226527220403e-11,2.2628736378923398e-28
-1.7829008841266131e-22,1.572462733519583e-24,0.0,0.0,-1.4506718809958178e-11,2.283618760880567e-28
6.968249819367829e-23,-5.887299443898556e-26,0.0,0.0,-1.4607697502987638e-11,2.3033482576202847e-28
-3.545534819553256e-22,4.669022160110598e-25,0.0,0.0,-1.4704401373235996e-11,2.3222690182029096e-28
5.944384277185063e-23,1.2225126639895053e-24,0.0,0.0,-1.4797054404238776e-11,2.3401741494733924e-28
-1.2916410655893196e-22,-5.240190895007992e-25,0.0,0.0,-1.4885866827857005e-11,2.3575526597008235e-28
-2.4114979805634488e-22,1.3060030758058696e-24,0.0,0.0,-1.497103607572788e-11,2.374254085523809e-28
1.321838649961478e-22,2.0666114158257844e-25,0.0,0.0,-1.5052747659737574e-11,2.390090344834013e-28
-3.0941905755453954e-22,-1.4125626184099063e-26,0.0,0.0,-1.5131175988962626e-11,2.4053623666354174e-28
1.3603878265126456e-24,1.3625421215585544e-24,0.0,0.0,-1.5206485121040297e-11,2.4202394221769882e-28
-1.6984125722722068e-23,-5.639572526238956e-25,0.0,0.0,-1.5278829458977872e-11,2.434495819004559e-28
-2.8819098412168016e-22,9.346218538278201e-25,0.0,0.0,-1.5348354400561815e-11,2.448018706179886e-28
1.5339527874100197e-22,5.339928857884364e-25,0.0,0.0,-1.541519693316668e-11,2.4610996081056216e-28
-2.3592828086656606e-22,-4.0308426546622343e-25,0.0,0.0,-1.547948618949879e-11,2.4737009073994998e-28
-7.585876730916539e-23,1.3765751261180372e-24,0.0,0.0,-1.5541343959332805e-11,2.4857943900205993e-28
7.97315690641239e-23,-4.337057659127999e-25,0.0,0.0,-1.5600885167538486e-11,2.4974646987161647e-28
-3.0772529127988082e-22,4.968391384973232e-25,0.0,0.0,-1.5658218315728167e-11,2.5090879865540384e-28
1.3411812238331882e-22,8.540741872938192e-25,0.0,0.0,-1.57134458918599e-11,2.5201846541092582e-28
-1.4166246436466234e-22,-6.564798290218496e-25,0.0,0.0,-1.576666475177115e-11,2.5308675460128067e-28
-1.565720982983616e-22,1.2463915529050766e-24,0.0,0.0,-1.5817966473257218e-11,2.5411930882581866e-28
1.4934437762878116e-22,-1.686462155600882e-25,0.0,0.0,-1.5867437686292257e-11,2.551142470849282e-28
-2.9349915302787623e-22,4.6524227973616556e-26,0.0,0.0,-1.591516037618154e-11,2.5608849693017373e-28
8.038218377855854e-23,1.1036352123435595e-24,0.0,0.0,-1.5961212172403795e-11,2.5702325033071917e-28
-3.8431380301890424e-23,-7.476012504964786e-25,0.0,0.0,-1.6005666612784782e-11,2.5794107628659677e-28
-2.255187088560286e-22,9.8021763575126e-25,0.0,0.0,-1.6048593389486115e-11,2.588259883306727e-28
1.8357472001666927e-22,1.785841257631296e-25,0.0,0.0,-1.6090058582500123e-11,2.596836290694604e-28
-2.4531063794550783e-22,-3.5703859867816406e-25,0.0,0.0,-1.613012487156931e-11,2.605224621800189e-28
2.8371129387610026e-24,1.2336088168791977e-24,0.0,0.0,-1.616885173999949e-11,2.613424869379498e-28
5.98686921347116e-23,-6.719779074213415e-25,0.0,0.0,-1.6206295659331948e-11,2.6214370389702116e-28
-2.6991327312301555e-22,6.10253482124452e-25,0.0,0.0,-1.624251026767058e-11,2.629110667216446e-28
1.7904766639265104e-22,5.451883184105495e-25,0.0,0.0,-1.627754653022875e-11,2.636652635931567e-28
-1.6880447944779626e-22,-6.593835778932763e-25,0.0,0.0,-1.6311452893429816e-11,2.6439030864759914e-28
-8.468736019885717e-23,1.215836512705998e-24,0.0,0.0,-1.634427542986121e-11,2.6511065165025156e-28
1.3961771840202623e-22,-4.489337394729589e-25,0.0,0.0,-1.6376057970306037e-11,2.6581124634156534e-28
-2.81250891979591e-22,1.8686884690661347e-25,0.0,0.0,-1.6406842228772344e-11,2.66484569547777e-28
1.3798869328220322e-22,8.672480564488571e-25,0.0,0.0,-1.64366679228716e-11,2.6714378668586227e-28
-7.44360209292397e-23,-8.200181278979553e-25,0.0,0.0,-1.6465572882340233e-11,2.6777949405787843e-28
-1.6718769590100235e-22,1.0468216959128767e-24,0.0,0.0,-1.6493593151880586e-11,2.6840485705113836e-28
1.8972637960169559e-22,-1.1916251744298625e-25,0.0,0.0,-1.652076308937654e-11,2.690217565143679e-28
-2.565055274689346e-22,-2.2977497612943203e-25,0.0,0.0,-1.654711545666082e-11,2.6962360955816323e-28
6.799328133076634e-23,1.0891694350830067e-24,0.0,0.0,-1.6572681504708407e-11,2.7021323742011873e-28
2.426330720876993e-23,-8.191891085607681e-25,0.0,0.0,-1.6597491055453273e-11,2.707831170809382e-28
-2.3072150056197985e-22,7.478416176057256e-25,0.0,0.0,-1.6621572574446122e-11,2.7134547358838165e-28
2.0345445439399718e-22,2.612027559547361e-25,0.0,0.0,-1.6644953245518217e-11,2.7189560493859717e-28
-1.9851468766382377e-22,-5.794612649374041e-25,0.0,0.0,-1.6667659034692955e-11,2.72435391919791e-28
-1.9074832839747458e-23,1.171985592689818e-24,0.0,0.0,-1.6689714754514113e-11,2.7295354980988885e-28
1.1286637469102932e-22,-6.612816931763106e-25,0.0,0.0,-1.6711144123061225e-11,2.734773501517573e-28
-2.645075424682893e-22,3.6133307424374275e-25,0.0,0.0,-1.6731969821561645e-11,2.7399362731223995e-28
1.7952463146801303e-22,6.2904174618766145e-25,0.0,0.0,-1.6752213542730068e-11,2.7448357322000127e-28
-1.1547725407411927e-22,-8.115531268969232e-25,0.0,0.0,-1.6771896043688035e-11,2.7496646630391084e-28
-1.0887319932607995e-22,1.0991729761011535e-24,0.0,0.0,-1.679103719289805e-11,2.7543525343705977e-28
1.7834835778622673e-22,-3.7436866138724516e-25,0.0,0.0,-1.68096560119153e-11,2.7589886831094377e-28
-2.6255393904751913e-22,-5.592838224307518e-26,0.0,0.0,-1.6827770719847754e-11,2.7636248332450956e-28
1.223676483776834e-22,9.238658003464634e-25,0.0,0.0,-1.6845398770907158e-11,2.7681105206300657e-28
-1.9634170517943878e-23,-8.930641367826345e-25,0.0,0.0,-1.6862556891903407e-11,2.772530378794982e-28
-1.8677180906626991e-22,8.790435317962636e-25,0.0,0.0,-1.687926111757131e-11,2.7768561981088636e-28
2.1115181269145008e-22,-6.0101176863826305e-27,0.0,0.0,-1.6895526824179055e-11,2.781050360968121e-28
-2.2455468980747493e-22,-4.418216865449972e-25,0.0,0.0,-1.691136875945007e-11,2.785263332255862e-28
4.1466527370964765e-23,1.097082090927504e-24,0.0,0.0,-1.692680107401531e-11,2.7894057745355042e-28
7.466813045034889e-23,-8.139315200568331e-25,0.0,0.0,-1.694183734973978e-11,2.793416561079594e-28
-2.4009990166695934e-22,5.433193665310069e-25,0.0,0.0,-1.695649062367119e-11,2.7973850306278596e-28
2.0670203727085412e-22,3.8402324879625994e-25,0.0,0.0,-1.6970773415739148e-11,2.8012782674218713e-28
-1.5591083478387559e-22,-7.386644100546787e-25,0.0,0.0,-1.6984697753179984e-11,2.8051479946677396e-28
-5.009417567034801e-23,1.1194447423514422e-24,0.0,0.0,-1.69982751894215e-11,2.808947192708981e-28
1.532337676715205e-22,-5.886865128502758e-25,0.0,0.0,-1.7011516830111815e-11,2.8126476490732247e-28
-2.6009550937261334e-22,1.4209764747593776e-25,0.0,0.0,-1.7024433351242436e-11,2.8163057878786927e-28
