s,F_parallel
8.623000000000002956e+02,-1.215189199867258135e-32
8.677500000000003411e+02,-1.210868933687111112e-32
8.732000000000003865e+02,-1.206519566474277411e-32
9.004000000000004320e+02,-1.184427088835970712e-32
9.276000000000004775e+02,-1.161813005134809634e-32
9.328750000000004547e+02,-1.157379949178772078e-32
9.361250000000004547e+02,-1.154642180930621382e-32
9.414000000000004320e+02,-1.150188717955547796e-32
9.686000000000004775e+02,-1.127065143495215295e-32
9.958000000000005230e+02,-1.103761751810628875e-32
1.001250000000000568e+03,-1.099080650977240339e-32
1.006700000000000614e+03,-1.094397502691813319e-32
1.033900000000000546e+03,-1.071020355229186267e-32
1.061100000000000591e+03,-1.047698928614242782e-32
1.066375000000000682e+03,-1.043189220284621578e-32
1.069625000000000682e+03,-1.040413436004792760e-32
1.074900000000000773e+03,-1.035912869862287406e-32
1.102100000000000819e+03,-1.012816061590886203e-32
1.129300000000000864e+03,-9.899459176384765192e-33
1.134750000000000909e+03,-9.853953835996822712e-33
1.140200000000000955e+03,-9.808563892313580477e-33
1.167400000000001000e+03,-9.583875120455242949e-33
1.194600000000001046e+03,-9.362539488694377946e-33
1.199875000000001137e+03,-9.320032006305789866e-33
1.203125000000001137e+03,-9.293912480516174228e-33
1.208400000000001228e+03,-9.251633398292632573e-33
1.235600000000001273e+03,-9.035950189440844064e-33
1.262800000000001319e+03,-8.824326425029020091e-33
1.268250000000001364e+03,-8.782429341147022268e-33
1.273700000000001410e+03,-8.740704151301174006e-33
1.300900000000001455e+03,-8.535070543710130822e-33
1.328100000000001501e+03,-8.333871774777862606e-33
1.333375000000001592e+03,-8.295374148649556721e-33
1.336625000000001592e+03,-8.271740229020108186e-33
1.341900000000001683e+03,-8.233518851384799773e-33
1.369100000000001728e+03,-8.039164804754981541e-33
1.396300000000001774e+03,-7.849412986546670790e-33
1.401750000000001819e+03,-7.811948370628454854e-33
1.407200000000001864e+03,-7.774669382694903689e-33
1.434400000000001910e+03,-7.591390592155486378e-33
1.461600000000001955e+03,-7.412723243230390064e-33
1.466875000000002046e+03,-7.378605362680568762e-33
1.470125000000002046e+03,-7.357670592095688039e-33
1.475400000000002137e+03,-7.323830782488249120e-33
1.502600000000002183e+03,-7.152056579557616744e-33
1.529800000000002228e+03,-6.984796326935151091e-33
1.535250000000002274e+03,-6.951820451148752511e-33
1.540700000000002319e+03,-6.919022859239002785e-33
1.567900000000002365e+03,-6.757981426936859616e-33
1.595100000000002410e+03,-6.601293200273644864e-33
1.600375000000002501e+03,-6.571403349199692655e-33
1.603625000000002501e+03,-6.553067554803349716e-33
1.608900000000002592e+03,-6.523436161182437278e-33
1.636100000000002638e+03,-6.373156408742258526e-33
1.663300000000002683e+03,-6.227018635779843031e-33
1.668750000000002728e+03,-6.198227399546639349e-33
1.674200000000002774e+03,-6.169598012274505590e-33
1.701400000000002819e+03,-6.029106700202121634e-33
1.728600000000002865e+03,-5.892531892980532461e-33
1.733875000000002956e+03,-5.866490609820517866e-33
1.737125000000002956e+03,-5.850517417482513373e-33
1.742400000000003047e+03,-5.824706755345919970e-33
1.769600000000003092e+03,-5.693850974677533048e-33
1.796800000000003138e+03,-5.566665593790387325e-33
1.802250000000003183e+03,-5.541614422625226670e-33
1.807700000000003229e+03,-5.516705839838606995e-33
1.834900000000003274e+03,-5.394495432250485888e-33
1.862100000000003320e+03,-5.275718516406430373e-33
1.867375000000003411e+03,-5.253072879327342043e-33
1.870625000000003411e+03,-5.239182745785608819e-33
