s,F_parallel
1.625000000000000000e+00,6.374857907652034775e-38
6.900000000000000355e+00,2.706864130043168901e-37
3.410000000000000142e+01,1.337757106778663420e-36
6.129999999999999716e+01,2.404895501798665591e-36
6.675000000000000000e+01,2.618728416402028614e-36
7.220000000000000284e+01,2.832566651892436035e-36
9.940000000000000568e+01,3.899890695358628096e-36
1.266000000000000085e+02,4.967412132574472257e-36
1.318750000000000000e+02,5.174468075630527907e-36
1.351250000000000000e+02,5.302042967431365760e-36
1.404000000000000057e+02,5.509115028021366837e-36
1.675999999999999943e+02,6.577036171979912968e-36
1.947999999999999829e+02,7.645290312540725846e-36
2.002499999999999716e+02,7.859378701702649876e-36
2.056999999999999602e+02,8.073483069273923093e-36
2.328999999999999488e+02,9.142294704643319857e-36
2.600999999999999659e+02,1.021156941306282386e-35
2.653749999999999432e+02,1.041899615063687924e-35
2.686249999999999432e+02,1.054680447347322498e-35
2.738999999999999204e+02,1.075426349383321560e-35
3.010999999999999091e+02,1.182433879913766348e-35
3.282999999999998977e+02,1.289501338252672870e-35
3.337499999999998863e+02,1.310961879812447664e-35
3.391999999999998749e+02,1.332425089698481740e-35
3.663999999999998636e+02,1.439585647296624734e-35
3.935999999999998522e+02,1.546819217347265806e-35
3.988749999999998295e+02,1.567624348938653526e-35
4.021249999999998295e+02,1.580444163218355216e-35
4.073999999999998067e+02,1.601254149183303802e-35
4.345999999999997954e+02,1.708608105265403047e-35
4.617999999999997840e+02,1.816048795034044087e-35
4.672499999999997726e+02,1.837587347701051980e-35
4.726999999999997613e+02,1.859129647096975835e-35
4.998999999999997499e+02,1.966701062146557960e-35
5.270999999999997954e+02,2.074372411553654419e-35
5.323749999999997726e+02,2.095265564690386121e-35
5.356249999999997726e+02,2.108140115536414949e-35
5.408999999999997499e+02,2.129039763561965457e-35
5.680999999999997954e+02,2.236872182964347503e-35
5.952999999999998408e+02,2.344818399755089007e-35
6.007499999999998863e+02,2.366461503743469720e-35
6.061999999999999318e+02,2.388109444008535992e-35
6.333999999999999773e+02,2.496224400965347049e-35
6.606000000000000227e+02,2.604466511674955829e-35
6.658750000000000000e+02,2.625473511902603135e-35
6.691250000000000000e+02,2.638418716723074724e-35
6.743999999999999773e+02,2.659433871705013639e-35
7.016000000000000227e+02,2.767878216256032486e-35
7.288000000000000682e+02,2.876463761235838358e-35
7.342500000000001137e+02,2.898238268261042153e-35
7.397000000000001592e+02,2.920018715545060469e-35
7.669000000000002046e+02,3.028811519204708684e-35
7.941000000000002501e+02,3.137759075878101434e-35
7.993750000000002274e+02,3.158906088525855048e-35
8.026250000000002274e+02,3.171938075625251397e-35
8.079000000000002046e+02,3.193094927279871656e-35
8.351000000000002501e+02,3.302286486437153822e-35
8.623000000000002956e+02,3.411647071794988004e-35
8.677500000000003411e+02,3.433580226546509850e-35
8.732000000000003865e+02,3.455520443342558125e-35
9.004000000000004320e+02,3.565127427078179112e-35
9.276000000000004775e+02,3.674917227436697662e-35
9.328750000000004547e+02,3.696230837449256795e-35
9.361250000000004547e+02,3.709365995255524044e-35
9.414000000000004320e+02,3.730691158086967774e-35
9.686000000000004775e+02,3.840767462641680953e-35
9.958000000000005230e+02,3.951041127644229842e-35
1.001250000000000568e+03,3.973160651441199332e-35
1.006700000000000614e+03,3.995288380340387692e-35
1.033900000000000546e+03,4.105848325618577780e-35
1.061100000000000591e+03,4.216619702550004066e-35
1.066375000000000682e+03,4.238126996656716285e-35
1.069625000000000682e+03,4.251382024397506371e-35
1.074900000000000773e+03,4.272902620032077317e-35
1.102100000000000819e+03,4.384003868311443996e-35
1.129300000000000864e+03,4.495331408351556511e-35
1.134750000000000909e+03,4.517665585461535494e-35
1.140200000000000955e+03,4.540009135591060522e-35
1.167400000000001000e+03,4.651663705181417246e-35
1.194600000000001046e+03,4.763558963046338561e-35
1.199875000000001137e+03,4.785287614743285236e-35
1.203125000000001137e+03,4.798679574864927811e-35
1.208400000000001228e+03,4.820423317229525566e-35
1.235600000000001273e+03,4.932692816272785966e-35
1.262800000000001319e+03,5.045218227411485361e-35
1.268250000000001364e+03,5.067795994536755275e-35
1.273700000000001410e+03,5.090384331186594641e-35
1.300900000000001455e+03,5.203278518603145741e-35
1.328100000000001501e+03,5.316443386307654795e-35
1.333375000000001592e+03,5.338421744153693243e-35
1.336625000000001592e+03,5.351968116792044778e-35
1.341900000000001683e+03,5.373963400639515169e-35
1.369100000000001728e+03,5.487548024957737120e-35
1.396300000000001774e+03,5.601418966600697600e-35
1.401750000000001819e+03,5.624270006064884255e-35
1.407200000000001864e+03,5.647132844037291745e-35
1.434400000000001910e+03,5.761415441897250851e-35
1.461600000000001955e+03,5.875999545450390832e-35
1.466875000000002046e+03,5.898256725208263024e-35
1.470125000000002046e+03,5.911975465039363700e-35
1.475400000000002137e+03,5.934251458353990968e-35
1.502600000000002183e+03,6.049302129044068741e-35
1.529800000000002228e+03,6.164670407558773793e-35
1.535250000000002274e+03,6.187825244760568266e-35
1.540700000000002319e+03,6.210993146010575504e-35
1.567900000000002365e+03,6.326817236168795060e-35
1.595100000000002410e+03,6.442974593621853974e-35
1.600375000000002501e+03,6.465540574810793904e-35
1.603625000000002501e+03,6.479450170631048038e-35
1.608900000000002592e+03,6.502036911483045100e-35
1.636100000000002638e+03,6.618709098653503916e-35
1.663300000000002683e+03,6.735731174926383283e-35
1.668750000000002728e+03,6.759221280666406733e-35
1.674200000000002774e+03,6.782725756841148729e-35
1.701400000000002819e+03,6.900249225360111088e-35
1.728600000000002865e+03,7.018138767232320051e-35
1.733875000000002956e+03,7.041044494699520403e-35
1.737125000000002956e+03,7.055164032110464681e-35
1.742400000000003047e+03,7.078092530569588426e-35
1.769600000000003092e+03,7.196546782252735671e-35
1.796800000000003138e+03,7.315384306408908198e-35
1.802250000000003183e+03,7.339242204741344373e-35
1.807700000000003229e+03,7.363115825271783282e-35
1.834900000000003274e+03,7.482501905519417473e-35
1.862100000000003320e+03,7.602288024053736115e-35
1.867375000000003411e+03,7.625565515219206520e-35
1.870625000000003411e+03,7.639914742821136662e-35
1.875900000000003502e+03,7.663217088587348031e-35
1.903100000000003547e+03,7.783619589561712120e-35
1.930300000000003593e+03,7.904439966326471773e-35
1.935750000000003638e+03,7.928699348639326437e-35
1.941200000000003683e+03,7.952975855090615240e-35
1.968400000000003729e+03,8.074393702524910043e-35
1.995600000000003774e+03,8.196246833391861866e-35
2.000875000000003865e+03,8.219929291875308320e-35
2.004125000000003865e+03,8.234528691407458795e-35
2.009400000000003956e+03,8.258238167870751599e-35
2.036600000000004002e+03,8.380761332103623009e-35
2.063800000000003820e+03,8.503738320578362051e-35
2.069250000000003638e+03,8.528434166666042663e-35
2.074700000000003456e+03,8.553148594112717402e-35
2.101900000000003274e+03,8.676773896616931789e-35
2.129100000000003092e+03,8.800871136997390810e-35
2.134375000000003183e+03,8.824993073397270193e-35
2.137625000000003183e+03,8.839863934300464824e-35
2.142900000000003274e+03,8.864015139804456150e-35
2.170100000000003092e+03,8.988838240549969151e-35
2.197300000000002910e+03,9.114152592509848698e-35
2.202750000000002728e+03,9.139321299469756024e-35
2.208200000000002547e+03,9.164510105730494163e-35
2.235400000000002365e+03,9.290525733709936899e-35
2.262600000000002183e+03,9.417051501044065707e-35
2.267875000000002274e+03,9.441648861709434123e-35
2.271125000000002274e+03,9.456813360630430600e-35
2.276400000000002365e+03,9.481442337784904111e-35
2.303600000000002183e+03,9.608752179743872176e-35
2.330800000000002001e+03,9.736592320944755423e-35
2.336250000000001819e+03,9.762271840807121012e-35
2.341700000000001637e+03,9.787973044451615131e-35
2.368900000000001455e+03,9.916569745297294359e-35
2.396100000000001273e+03,1.004571648139179392e-34
2.401375000000001364e+03,1.007082678610698395e-34
2.404625000000001364e+03,1.008630807191312265e-34
2.409900000000001455e+03,1.011145244588121970e-34
2.437100000000001273e+03,1.024144408424976119e-34
2.464300000000001091e+03,1.037200684366408713e-34
2.469750000000000909e+03,1.039823683075202354e-34
2.475200000000000728e+03,1.042449015888091649e-34
2.502400000000000546e+03,1.055586730085312091e-34
2.529600000000000364e+03,1.068783622649822000e-34
2.534875000000000455e+03,1.071349871609103790e-34
2.538125000000000455e+03,1.072932100101985217e-34
2.543400000000000546e+03,1.075502012779657809e-34
2.570600000000000364e+03,1.088789763950798548e-34
2.597800000000000182e+03,1.102138903189877565e-34
2.603250000000000000e+03,1.104821100101527956e-34
2.608699999999999818e+03,1.107505804791398839e-34
2.635899999999999636e+03,1.120942441900664417e-34
2.663099999999999454e+03,1.134442634477481898e-34
2.668374999999999545e+03,1.137068213976141699e-34
2.671624999999999545e+03,1.138687079739306125e-34
2.676899999999999636e+03,1.141316592319539818e-34
2.704099999999999454e+03,1.154914323620079902e-34
2.731299999999999272e+03,1.168577930399805568e-34
2.736749999999999091e+03,1.171323680064958987e-34
2.742199999999998909e+03,1.174072119853076230e-34
2.769399999999998727e+03,1.187829586645226914e-34
2.796599999999998545e+03,1.201655206594094657e-34
2.801874999999998636e+03,1.204344433743671484e-34
2.805124999999998636e+03,1.206002600824910953e-34
2.810399999999998727e+03,1.208696044125492238e-34
2.837599999999998545e+03,1.222626222830139723e-34
2.864799999999998363e+03,1.236626994937437260e-34
2.870249999999998181e+03,1.239440873336855411e-34
2.875699999999997999e+03,1.242257633654616939e-34
2.902899999999997817e+03,1.256358957660452037e-34
2.930099999999997635e+03,1.270533272905368217e-34
2.935374999999997726e+03,1.273290688331117284e-34
2.938624999999997726e+03,1.274990958865918950e-34
2.943899999999997817e+03,1.277752888446497445e-34
2.971099999999997635e+03,1.292039152852484437e-34
2.998299999999997453e+03,1.306400979715627735e-34
3.003749999999997272e+03,1.309287804105629079e-34
3.009199999999997090e+03,1.312177712504049741e-34
3.036399999999996908e+03,1.326647142345935687e-34
3.063599999999996726e+03,1.341194663343285540e-34
3.068874999999996817e+03,1.344025051151697154e-34
3.072124999999996817e+03,1.345770377696931784e-34
3.077399999999996908e+03,1.348605593928711657e-34
3.104599999999996726e+03,1.363272857857980949e-34
3.131799999999996544e+03,1.378020926775676854e-34
3.137249999999996362e+03,1.380985777183973803e-34
3.142699999999996180e+03,1.383953924900644831e-34
3.169899999999995998e+03,1.398817039003677607e-34
3.197099999999995816e+03,1.413763629271600494e-34
3.202374999999995907e+03,1.416672038699612461e-34
3.205624999999995907e+03,1.418465537606812514e-34
3.210899999999995998e+03,1.421379107435299014e-34
3.238099999999995816e+03,1.436453673579481877e-34
3.265299999999995634e+03,1.451614584984761548e-34
3.270749999999995453e+03,1.454662827540045171e-34
3.276199999999995271e+03,1.457714592907778625e-34
3.303399999999995089e+03,1.472998417522023249e-34
3.330599999999994907e+03,1.488371413683456196e-34
3.335874999999994998e+03,1.491363182616526173e-34
3.339124999999994998e+03,1.493208148560502778e-34
3.344399999999995089e+03,1.496205429149769921e-34
3.371599999999994907e+03,1.511715112242912678e-34
3.398799999999994725e+03,1.527317005009140709e-34
3.404249999999994543e+03,1.530454317308987438e-34
3.409699999999994361e+03,1.533595391211624159e-34
3.436899999999994179e+03,1.549328528784971209e-34
3.464099999999993997e+03,1.565156871187646692e-34
3.469374999999994088e+03,1.568237651755700247e-34
3.472624999999994088e+03,1.570137573547717198e-34
3.477899999999994179e+03,1.573224238016696716e-34
3.505099999999993997e+03,1.589198498936060089e-34
3.532299999999993815e+03,1.605271186850679152e-34
3.537749999999993634e+03,1.608503585596434082e-34
3.543199999999993452e+03,1.611739999201504422e-34
3.570399999999993270e+03,1.627952768265470383e-34
3.597599999999993088e+03,1.644267143368207157e-34
3.602874999999993179e+03,1.647442929853300441e-34
3.606124999999993179e+03,1.649401507683391738e-34
3.611399999999993270e+03,1.652583573169752220e-34
3.638599999999993088e+03,1.669053665196070626e-34
3.665799999999992906e+03,1.685628785862431746e-34
3.671249999999992724e+03,1.688962657017124301e-34
3.676699999999992542e+03,1.692300812042650083e-34
3.703899999999992360e+03,1.709025399913172323e-34
3.731099999999992178e+03,1.725858395771309343e-34
3.736374999999992269e+03,1.729135555089121625e-34
3.739624999999992269e+03,1.731156719359668558e-34
3.744899999999992360e+03,1.734440577675289358e-34
3.772099999999992178e+03,1.751439706293365276e-34
3.799299999999991996e+03,1.768550883874345971e-34
3.804749999999991815e+03,1.771993015630954586e-34
3.810199999999991633e+03,1.775439717435037847e-34
3.837399999999991451e+03,1.792710347189636805e-34
3.864599999999991269e+03,1.810096623536069375e-34
3.869874999999991360e+03,1.813481928585594342e-34
3.873124999999991360e+03,1.815569860518162439e-34
3.878399999999991451e+03,1.818962311692822150e-34
3.905599999999991269e+03,1.836525809483612086e-34
3.932799999999991087e+03,1.854208832875809934e-34
3.938249999999990905e+03,1.857766451758806025e-34
3.943699999999990723e+03,1.861328945576528207e-34
3.970899999999990541e+03,1.879182058950939648e-34
