s,F_parallel
1.625000000000000000e+00,-4.666294172850434441e-34
6.900000000000000355e+00,-4.657729701538738269e-34
3.410000000000000142e+01,-4.613868239250246242e-34
6.129999999999999716e+01,-4.570504038526817179e-34
6.675000000000000000e+01,-4.561874353604863574e-34
7.220000000000000284e+01,-4.553264250825727315e-34
9.940000000000000568e+01,-4.510583296436473526e-34
1.266000000000000085e+02,-4.468380840784193210e-34
1.318750000000000000e+02,-4.460251111287216534e-34
1.351250000000000000e+02,-4.455251067366361370e-34
1.404000000000000057e+02,-4.447149846755529250e-34
1.675999999999999943e+02,-4.405654414033956773e-34
1.947999999999999829e+02,-4.364618791370992768e-34
2.002499999999999716e+02,-4.356451237726130800e-34
2.056999999999999602e+02,-4.348301797099543205e-34
2.328999999999999488e+02,-4.307898160285568279e-34
2.600999999999999659e+02,-4.267937260714344897e-34
2.653749999999999432e+02,-4.260238162140905464e-34
2.686249999999999432e+02,-4.255502781045074677e-34
2.738999999999999204e+02,-4.247830069176551414e-34
3.010999999999999091e+02,-4.208523561346125452e-34
3.282999999999998977e+02,-4.169642770089242835e-34
3.337499999999998863e+02,-4.161902931566446425e-34
3.391999999999998749e+02,-4.154179868074433439e-34
3.663999999999998636e+02,-4.115884377887017788e-34
3.935999999999998522e+02,-4.077999041424740783e-34
3.988749999999998295e+02,-4.070698743942545380e-34
4.021249999999998295e+02,-4.066208472811935345e-34
4.073999999999998067e+02,-4.058932627565783287e-34
4.345999999999997954e+02,-4.021653707115697574e-34
4.617999999999997840e+02,-3.984769411488439320e-34
4.672499999999997726e+02,-3.977425917750482073e-34
4.726999999999997613e+02,-3.970097978335279650e-34
4.998999999999997499e+02,-3.933756391166274336e-34
5.270999999999997954e+02,-3.897795217693809835e-34
5.323749999999997726e+02,-3.890864683528998176e-34
5.356249999999997726e+02,-3.886601683655094778e-34
5.408999999999997499e+02,-3.879693835295104933e-34
5.680999999999997954e+02,-3.844295269603233073e-34
5.952999999999998408e+02,-3.809262925393240190e-34
6.007499999999998863e+02,-3.802287132517371646e-34
6.061999999999999318e+02,-3.795325778342311138e-34
6.333999999999999773e+02,-3.760797216681946215e-34
6.606000000000000227e+02,-3.726621877699910127e-34
6.658750000000000000e+02,-3.720034570651317173e-34
6.691250000000000000e+02,-3.715982539228335232e-34
6.743999999999999773e+02,-3.709416302259720935e-34
7.016000000000000227e+02,-3.675763500481897942e-34
7.288000000000000682e+02,-3.642450929094471129e-34
7.342500000000001137e+02,-3.635816638233111274e-34
7.397000000000001592e+02,-3.629195764783806247e-34
7.669000000000002046e+02,-3.596351341538777453e-34
7.941000000000002501e+02,-3.563835239136518596e-34
7.993750000000002274e+02,-3.557566868431590571e-34
8.026250000000002274e+02,-3.553710881369756344e-34
8.079000000000002046e+02,-3.547462100425938961e-34
8.351000000000002501e+02,-3.515431822834541136e-34
8.623000000000002956e+02,-3.483717952858016154e-34
8.677500000000003411e+02,-3.477401161883586763e-34
8.732000000000003865e+02,-3.471096851862609852e-34
9.004000000000004320e+02,-3.439818455533301712e-34
9.276000000000004775e+02,-3.408845537648243968e-34
9.328750000000004547e+02,-3.402873831592369947e-34
9.361250000000004547e+02,-3.399200204604901502e-34
9.414000000000004320e+02,-3.393246729860969362e-34
9.686000000000004775e+02,-3.362725946858671597e-34
9.958000000000005230e+02,-3.332499701089163832e-34
1.001250000000000568e+03,-3.326478384889050655e-34
1.006700000000000614e+03,-3.320468689597853130e-34
1.033900000000000546e+03,-3.290647909231100816e-34
1.061100000000000591e+03,-3.261111620777758166e-34
1.066375000000000682e+03,-3.255416126311457087e-34
1.069625000000000682e+03,-3.251912291893308008e-34
1.074900000000000773e+03,-3.246233780159207081e-34
1.102100000000000819e+03,-3.217118661503274660e-34
1.129300000000000864e+03,-3.188277970571115166e-34
1.134750000000000909e+03,-3.182531886285421185e-34
1.140200000000000955e+03,-3.176796631809528705e-34
1.167400000000001000e+03,-3.148333803684540216e-34
1.194600000000001046e+03,-3.120136156068999987e-34
1.199875000000001137e+03,-3.114698060905267958e-34
1.203125000000001137e+03,-3.111352459163336891e-34
1.208400000000001228e+03,-3.105930197361501405e-34
1.235600000000001273e+03,-3.078125214920156130e-34
1.262800000000001319e+03,-3.050576141351392532e-34
1.268250000000001364e+03,-3.045086655374217134e-34
1.273700000000001410e+03,-3.039607270412137560e-34
1.300900000000001455e+03,-3.012410630980912840e-34
1.328100000000001501e+03,-2.985461374993504536e-34
1.333375000000001592e+03,-2.980263349478066415e-34
1.336625000000001592e+03,-2.977065331061012879e-34
1.341900000000001683e+03,-2.971882079258685375e-34
1.369100000000001728e+03,-2.945299208972998158e-34
1.396300000000001774e+03,-2.918955167792159710e-34
1.401750000000001819e+03,-2.913705101803324377e-34
1.407200000000001864e+03,-2.908464464422763761e-34
1.434400000000001910e+03,-2.882449396193330492e-34
1.461600000000001955e+03,-2.856665285366811649e-34
1.466875000000002046e+03,-2.851691341602169987e-34
1.470125000000002046e+03,-2.848631081221923761e-34
1.475400000000002137e+03,-2.843670932782278242e-34
1.502600000000002183e+03,-2.818228943497671870e-34
1.529800000000002228e+03,-2.793010007402793086e-34
1.535250000000002274e+03,-2.787983501074813113e-34
1.540700000000002319e+03,-2.782965802055200927e-34
1.567900000000002365e+03,-2.758054160942364261e-34
1.595100000000002410e+03,-2.733358294239047533e-34
1.600375000000002501e+03,-2.728593660350831099e-34
1.603625000000002501e+03,-2.725662079594798096e-34
1.608900000000002592e+03,-2.720910336345139656e-34
1.636100000000002638e+03,-2.696534154865745357e-34
1.663300000000002683e+03,-2.672366433640636267e-34
1.668750000000002728e+03,-2.667548821986790946e-34
1.674200000000002774e+03,-2.662739442725926449e-34
1.701400000000002819e+03,-2.638858956954415043e-34
1.728600000000002865e+03,-2.615180191155309235e-34
1.733875000000002956e+03,-2.610611198866524438e-34
