x,px,y,py,l,delta
4.0302557011314857e-22,3.3071933911432613e-24,0.0,0.0,-8.755420505735449e-13,-2.271997862598171e-30
5.999184841381041e-22,-3.2541451326652254e-25,0.0,0.0,-1.751084101445758e-12,-4.543993343867488e-30
-1.023198270826485e-22,1.887765943435649e-24,0.0,0.0,-2.6266261525471507e-12,-6.815988825136806e-30
7.6795939400385615e-22,2.1570646674762282e-24,0.0,0.0,-3.5021682039476564e-12,-9.087984306406123e-30
1.4765840182873251e-22,-4.653616183742095e-25,0.0,0.0,-4.3777102555963834e-12,-1.135997978767544e-29
2.200334363366804e-22,3.250568415440868e-24,0.0,0.0,-5.253252307506244e-12,-1.3631975268944757e-29
7.303480679802019e-22,2.2599851591045436e-25,0.0,0.0,-6.128794359732017e-12,-1.5903970750214075e-29
-1.175380307102869e-22,1.1064237766118967e-24,0.0,0.0,-7.004336412150603e-12,-1.8175966231483392e-29
6.606563904820333e-22,2.7930357374050686e-24,0.0,0.0,-7.87987846492211e-12,-2.044796171275271e-29
3.259419114965598e-22,-6.504871118811219e-25,0.0,0.0,-8.755420518041383e-12,-2.2719957194022027e-29
5.640381379166252e-23,2.8959274421834378e-24,0.0,0.0,-9.630962571439697e-12,-2.4991952675291344e-29
8.007278707482111e-22,9.500620962541452e-25,0.0,0.0,-1.050650462509341e-11,-2.726394815656066e-29
-6.086275269715305e-23,3.6072533582061727e-25,0.0,0.0,-1.138204667898889e-11,-2.953594363782998e-29
5.041486307367963e-22,3.2021894707123364e-24,0.0,0.0,-1.2257588733218902e-11,-3.1807939119099296e-29
5.071070478235315e-22,-5.265682929019271e-25,0.0,0.0,-1.3133130787721352e-11,-3.4079934600368613e-29
-6.240018094286321e-23,2.2984577041261757e-24,0.0,0.0,-1.400867284246627e-11,-3.635193008163793e-29
8.001057789972101e-22,1.7341015276330256e-24,0.0,0.0,-1.4884214897558403e-11,-3.862392556290725e-29
5.888651452422862e-23,-2.332879836400589e-25,0.0,0.0,-1.575975695307378e-11,-4.0895921044176565e-29
3.2279096709620445e-22,3.320855665815922e-24,0.0,0.0,-1.66352990089279e-11,-4.316791652544588e-29
6.629619071761654e-22,-1.1288871084310376e-25,0.0,0.0,-1.7510841065075472e-11,-4.54399120067152e-29
