s,F_parallel
9.004000000000004320e+02,-1.489655786357930267e-32
9.276000000000004775e+02,-1.449753668885244690e-32
9.328750000000004547e+02,-1.442071422461040978e-32
9.361250000000004547e+02,-1.437348443246543148e-32
9.414000000000004320e+02,-1.429699799235477260e-32
9.686000000000004775e+02,-1.390625967224164395e-32
9.958000000000005230e+02,-1.352237305050746467e-32
1.001250000000000568e+03,-1.344635501032832157e-32
1.006700000000000614e+03,-1.337065160090259165e-32
1.033900000000000546e+03,-1.299771257351151566e-32
1.061100000000000591e+03,-1.263331067133325738e-32
1.066375000000000682e+03,-1.256366793850587087e-32
1.069625000000000682e+03,-1.252092932479024514e-32
1.074900000000000773e+03,-1.245183764924903097e-32
1.102100000000000819e+03,-1.210107781781363002e-32
1.129300000000000864e+03,-1.175970489376492661e-32
1.134750000000000909e+03,-1.169244858496744102e-32
1.140200000000000955e+03,-1.162557629582993131e-32
1.167400000000001000e+03,-1.129758859332014211e-32
1.194600000000001046e+03,-1.097921827953650430e-32
1.199875000000001137e+03,-1.091858803637778981e-32
1.203125000000001137e+03,-1.088141248760558785e-32
1.208400000000001228e+03,-1.082136485488387365e-32
1.235600000000001273e+03,-1.051743301768694134e-32
1.262800000000001319e+03,-1.022296835826068660e-32
1.268250000000001364e+03,-1.016509434000238524e-32
1.273700000000001410e+03,-1.010759383021308221e-32
1.300900000000001455e+03,-9.826155951395581174e-33
1.328100000000001501e+03,-9.553810715777401592e-33
1.333375000000001592e+03,-9.502029958562323908e-33
1.336625000000001592e+03,-9.470293025275172101e-33
1.341900000000001683e+03,-9.419049724187749890e-33
1.369100000000001728e+03,-9.160029828861150567e-33
1.396300000000001774e+03,-8.909574579286752979e-33
1.401750000000001819e+03,-8.860401021768374143e-33
1.407200000000001864e+03,-8.811560071139028809e-33
1.434400000000001910e+03,-8.572708355949967224e-33
1.461600000000001955e+03,-8.341850615089446724e-33
1.466875000000002046e+03,-8.297984194426555278e-33
1.470125000000002046e+03,-8.271101790089837772e-33
1.475400000000002137e+03,-8.227702519905624455e-33
1.502600000000002183e+03,-8.008429529358727156e-33
1.529800000000002228e+03,-7.796532263937877972e-33
1.535250000000002274e+03,-7.754940167690138323e-33
1.540700000000002319e+03,-7.713632338364137289e-33
1.567900000000002365e+03,-7.511653617771559087e-33
1.595100000000002410e+03,-7.316464865547947672e-33
1.600375000000002501e+03,-7.279377026068705593e-33
1.603625000000002501e+03,-7.256648628151790289e-33
1.608900000000002592e+03,-7.219955385865563484e-33
1.636100000000002638e+03,-7.034553266119472568e-33
1.663300000000002683e+03,-6.855353601154121381e-33
1.668750000000002728e+03,-6.820173734087853511e-33
1.674200000000002774e+03,-6.785232048005565740e-33
1.701400000000002819e+03,-6.614343543842643277e-33
1.728600000000002865e+03,-6.449127733008904466e-33
1.733875000000002956e+03,-6.417725649813493746e-33
1.737125000000002956e+03,-6.398480018570301670e-33
1.742400000000003047e+03,-6.367406768022932101e-33
1.769600000000003092e+03,-6.210347012302997544e-33
1.796800000000003138e+03,-6.058445923882972403e-33
1.802250000000003183e+03,-6.028613056296929312e-33
1.807700000000003229e+03,-5.998977987878488895e-33
1.834900000000003274e+03,-5.853979235157536938e-33
1.862100000000003320e+03,-5.713686204640627824e-33
1.867375000000003411e+03,-5.687008302224174900e-33
1.870625000000003411e+03,-5.670655911327073259e-33
